# 来自 rime_kaomoji_dict (https://github.com/aoguai/rime_kaomoji_dict)
# 整理为不重复的 关键词<TAB>颜文字；同一关键词可对应多个颜文字
kiss	!(*￣(￣　*)
qian	$_$
贪心见钱眼开	$_$
zai xiang	( ' = ' )それは・・・・・ 考える　（＝＿＝）う～ん
bu chi	( *^-^)ρ(*╯^╰)
tiao shi	( *^-^)ρ(*╯^╰)[不吃!]
wei fan	( *^-^)ρ(*╯^╰)[不吃!]
wei fan	( *^-^)ρ(^0^* )
喂吃的	( *^-^)ρ(^0^* )
qi chuang	( *′д)/o(_ _)ozzZZ…[起床啦!]
ye si	( *⊙~⊙)
噎死	( *⊙~⊙)
剪jj	( *・ω・)✄╰ひ╯
tao zui	( *︾▽︾)
陶醉	( *︾▽︾)
ceng	( *￣▽￣)((≧︶≦*)
蹭一下	( *￣▽￣)((≧︶≦*)
ceng	( *￣▽￣)((≧︶≦*) [蹭]
da ni	( ,,´･ω･)ﾉ"(´っω･｀｡)
困恼	( -'`-)
jiu jie	( -'`-; )
kun nao	( -'`-; )
困恼	( -'`-; )
呃	( -д-)
哭	( ;`д´; )
哭	( ;´д`)
惊讶	( ;ﾟдﾟ)
六六	( = 6 ω 6 = )
tu	( >ρ < ”)
吐口水	( >ρ < ”)
ku	( >﹏<。)～呜呜呜……
yun le	( E___E )
wu	( T___T )
tat	( TдT)
qing	( ^ ^) _U~~
哦	( ` ・´)
长鼻子	( `_っ´)
骂人	( `д´)
多人	( `д´) `д´) `д´) `д´) `д´) `д´) `д´) `д´) `д´)好~~~~　　　再来一个！
预备	( `д´) 预备备！笑！
骄傲	( `ᵂ´)
生气	( `ー´)
囧	( ´_ゝ`)
写字	( ´_ゝ`)✎
口水	( ´ρ`)
皱眉	( ´д`)
诶	( ´∀`)
en	( ´◔ ‸◔`)
侧脸杀	( ´・ω)
无语	( ´ー`)
fen shou	( ´･･)ﾉ(._.`)
分手	( ´･･)ﾉ(._.`)
qin	( ˘ ³˘)♥
ha	( ˘•ω•˘ )
yao ming yu guo jing ming	( ˘•ω•˘ )ง⁽˙³˙⁾
jin chi	( ͡° ͜ʖ ͡°)
矜持	( ͡° ͜ʖ ͡°)
gao zhuang	( σ'ω')σ
告状	( σ'ω')σ
niu	( ఠൠఠ )ﾉ
牛	( ఠൠఠ )ﾉ
sigh	( ′ 3`) sigh~
sigh叹气	( ′ 3`) sigh~
xie e	( ‵▽′)ψ
邪恶	( ‵▽′)ψ
我错了	( ›´ω`‹ )
xin wei	( ╯▽╰)
皱眉欣慰	( ╯▽╰)
xin wei	( ╯▽╰)[欣慰]
shi luo	( ◞‸◟)
zou ni	( ☉_☉)≡☞o────★°
书写	( 。＿ 。） ✎ ＿
摔低低	( へ ﾟ∀ﾟ)べ摔低低
zhi zhang mao	( ゜，_ゝ゜) [痣长毛]
zou	( ノ・ω・)ノ
嗯	( ・_ゝ・)
mei mao	( ・ิω・)ノิิิ
huai yi	( ﹁ ﹁ ) ~~~→
xie y	( ﹁ ﹁ ) ~→
xie yan	( ﹁ ﹁ ) ~→
斜眼	( ﹁ ﹁ ) ~→
heng	( －з)
ping pang	( ＾o)ρ┳┻┳°σ(o^ ) [乒乓球]
huan ying	( ＾∀＾）／欢迎＼( ＾∀＾）
欢迎欢迎热烈欢迎	( ＾∀＾）／欢迎＼( ＾∀＾）
fu qiang	( ＿ ＿)ノ｜壁
扶墙痛苦	( ＿ ＿)ノ｜壁
shen me dong xi	( ｀д′)
什么东西	( ｀д′)
捂脸	( ﾉд`ﾟ)
可爱	( ﾟωﾟ)
惊讶	( ﾟдﾟ)
zou la	( ﾟдﾟ)つBye
走啦	( ﾟдﾟ)つBye
旋转	( ﾟᯅ 。)
歪头杀	( ﾟ∀。)
诶	( ﾟ∀ﾟ)
tao a	( ￣ ▽￣)o╭╯☆#╰( ￣﹏￣)╯
fan xing	( ￣ ￣)σ…( ＿ ＿)ノ｜壁
mian bi	( ￣ ￣)σ…( ＿ ＿)ノ｜壁
你去反省面壁思过	( ￣ ￣)σ…( ＿ ＿)ノ｜壁
ha	( ￣▽￣)"
不屑	( ￣ー￣)
ji zhang	( ￣ー￣)人(^▽^ )
e	("▔□▔)
wei	(#`O′)
喂	(#`O′)
nu	(#‵′)
di luo	(#｀-_ゝ-)
yuan lai	('-'*)
zao shang hao	(( ((((((( ρ . - ) おはよう～
High起来	(( へ(へ´∀`)へ
high	(( へ(へ´∀`)へ
chi fan	(((((ヾ(　o=^•ェ•)o　┏━┓
吃饭	(((((ヾ(　o=^•ェ•)o　┏━┓
zan	(((o(*ﾟ▽ﾟ*)o)))
赞	(((o(*ﾟ▽ﾟ*)o)))
yun	(((φ(◎ロ◎;)φ)))
晕晕晕	(((φ(◎ロ◎;)φ)))
nian zhou	(((　<(=-h-=)>　 )))
惊讶	(((　ﾟдﾟ)))
zhe	((*・∀・）ゞ→→
这	((*・∀・）ゞ→→
ying fen shen	((<(≧<(≧▽<(≧▽≦<(≧▽≦)>≧▽≦)>▽≦)>≦)>))
捂脸	(* /ω＼*)
qin qin	(* ˘ ³˘)♡
qin qin	(* ￣)(￣▽￣*)ゞ[亲亲]
bo bo	(* ￣3)(ε￣ *)
啵啵	(* ￣3)(ε￣ *)
bobo	(* ￣3)(ε￣ *) [啵啵]
bu shuang	(* ￣︿￣)
不爽	(* ￣︿￣)
pia	(*"･∀･)ﾉ――◎
hai xiu	(*/ω＼*)
lian hong	(*/ω＼*)
wu lian	(*/ω＼*)
yan mian	(*/ω＼*)
脸红	(*/ω＼*)
lian hong	(*/ω＼*)[脸红掩面]
yan mian	(*/ω＼*)[脸红掩面]
bo	(*^ ^*)(^ *)
zai jian	(*^-ﾟ)
hao kai xin	(*^▽^*)
kuai le	(*^▽^*)
真开心	(*^▽^*)
击掌	(*°▽°*)八(*°▽°*)♪
脸红	(*´ω`*)
脸红	(*´д`)
是啊	(*´∀`)
zao shang hao	(*´∀`)ノ
de yi	(*˘︶˘*)
xia	(*Φ皿Φ*)
吓	(*Φ皿Φ*)
ku	(*Ծ﹏Ծ)ぐ
MUA么亲一下的意思	(*╯3╰)
mua	(*╯3╰)
wo	(*゜ロ゜)ノ
嘿嘿	(*ﾟ∀ﾟ*)
哇	(*ﾟ∇ﾟ)
多人	(*ﾟ∇ﾟ)=ﾟωﾟ)*´∀`)*ﾟ∇ﾟ) - 嘿嘿哈！
脸红	(*ﾟーﾟ)
zui jiao	(*ﾟｰﾟ)
嘴角	(*ﾟｰﾟ)
xiong	(*￣(エ)￣)
熊	(*￣(エ)￣)
fei wen	(*￣3￣)╭
飞吻	(*￣3￣)╭
wen bie	(*￣;(￣ *)
吻别	(*￣;(￣ *)
lie dui	(*￣^￣(*￣^￣(*￣^￣)[列队]
wa bi shi	(*￣rǒ￣)
挖鼻屎	(*￣rǒ￣)
chi le	(*￣ω￣)
pai	(*￣∇￣)ノ
gao	(*￣▽)u┌┐ ｄ(▽￣*)
高厉害	(*￣▽)u┌┐ ｄ(▽￣*)
gao	(*￣▽)u┌┐ ｄ(▽￣*)[高~实在是高!]
shan ren	(*￣▽￣)(￣▽:;.…::;.:.:::;..::;.:...
闪人	(*￣▽￣)(￣▽:;.…::;.:.:::;..::;.:...
y	(*￣▽￣)y
ye	(*￣▽￣)y
y	(*￣︶￣)y
ye	(*￣︶￣)y
bie zui	(*￣︿￣)
bu man	(*￣︿￣)
不满	(*￣︿￣)
deng deng	(*￣０￣)ノ[等等我…]
等等我	(*￣０￣)ノ[等等我…]
deng deng	(*￣０￣)ノ[等等我…我……我…………]
xiong	(+(工)+╬)
熊	(+(工)+╬)
bu xing l	(+.+)(-.-)(_ _) ..zzZZ もうだめ
不行了困死了	(+.+)(-.-)(_ _) ..zzZZ もうだめ
皱眉	(,, Ծ ‸ Ծ,, )
ha	(,,Ò‿Ó,,)
wu	(,,•́ . •̀,,)
yan jing	(-@y@)
发呆大眼睛盯住	(-@y@)
fu yan jing	(-@y@) [扶眼镜]
yan jing	(-@y@) [扶眼镜]
han	(-_-;)
dao ba	(-_-メ)[刀疤]
qu si	(-__-)=@))> o<)
去死	(-__-)=@))> o<)
bai fo	(-人-) [拜佛]
ju shou	(.・△・）ノ
qu si	(/"≡ _ ≡)/~┴┴
na li pao	(///￣皿￣)○～
哪里跑	(///￣皿￣)○～
na li pao	(///￣皿￣)○～［哪~里跑?!］
hu huan	(/0￣)o [呼唤]
呼唤	(/0￣)o [呼唤]
tou kan	(/ω＼*)……… (/ω•＼*)
偷瞄偷看	(/ω＼*)……… (/ω•＼*)
pu	(/≧▽≦)/
噗	(/≧▽≦)/
bu kan	(/▽＼)
不看	(/▽＼)
bu kan	(/▽＼) 我不看……
mie ha ha	(/￣ˇ￣)/
mie hhh	(/￣ˇ￣)/
吓死啦	(:.;ﾟ;益;ﾟ;益;ﾟ;ﾟ;益;ﾟ;益;ﾟ;.)
si le	(:D)┼─┤死亡中
bei zi	(:з[____]
鱿鱼	(:◎)≡
hai	(;_;)/~~~
ku si	(;´༎ຶД༎ຶ`)
哭死	(;´༎ຶД༎ຶ`)
没有吧	(;´ヮ`)7
miao	(=^_^=)
萌猫	(=^x^=)
zhe yang me	(=′ー`)
这样么	(=′ー`)
hai	(=゜ω゜)ノぃょぅ
卖萌	(=ﾟωﾟ)=
a	(>_<)
ao	(>▽<)
嗷	(>▽<)
hao leng	(>＿<)}}
hui shou pa	(@^^)/~~~[挥手帕]
大眼瞪小眼	(O_o)(o_O)
wa	(PД`q。)·。'゜
lei ben	(PД`q。)·。'゜冰天雪地掩面泪奔……
lei ben	(PД`q。=)>·。'゜
hui shou pa	(ToT)/~~~
挥手帕	(ToT)/~~~
hui shou pa	(ToT)/~~~[含泪挥手帕]
oye	(^&^)/
hao a	(^o^)
微笑	(^▽^ )
xiao	(^﹏^)"
da he qian	(_ _)( - . - )(~O~) ……( - . - )
打哈欠	(_ _)( - . - )(~O~) ……( - . - )
hu hu	(_　_)。゜zｚＺ
哼	(`ε´ )
遵命	(`ᝫ´ )
娃哈哈	(`ゥ´ )
嘿嘿	(`ヮ´ )
多人	(`ヮ´ )σ`∀´) ﾟ∀ﾟ)σ
盯	(`・ω・´)
han si	(lll￢ω￢)
汗死	(lll￢ω￢)
jia ji	(o ￣3)==@))゜ロ゜((@==(′ε′ )o
两面夹击	(o ￣3)==@))゜ロ゜((@==(′ε′ )o
nu	(o#゜ 曲゜)o
kun si le	(o-ωｑ)).oO 困
困啊	(o-ωｑ)).oO 困
kun	(o-ωｑ)).oO 困，揉眼睛……
zhen fen	(o>ε(o>ｕ(≧∩≦)
振奋	(o>ε(o>ｕ(≧∩≦)
zhen fen	(o>ε(o>ｕ(≧∩≦) [振奋]
bai	(o^0^o)/~~~~~~~バイバ～イ！！
bai bai	(o_ _)ﾉ
bai le	(o_ _)ﾉ
败了	(o_ _)ﾉ
ao tu man	(o|o) 凹凸曼……
ao te man	(o|o) 奥特曼……
mo bai	(o´_　_)o)
wei suo	(o´∀｀)
cai shen	(o′┏▽┓｀o) [财神爷]
chou mei	(o≖◡≖)
臭美	(o≖◡≖)
hao zhu yi	(o゜▽゜)o☆
you le	(o゜▽゜)o☆
有了	(o゜▽゜)o☆
BINGO答对了	(o゜▽゜)o☆[BINGO!]
bingo	(o゜▽゜)o☆[BINGO!]
hao zhu yi	(o゜▽゜)o☆[好主意!]
you le	(o゜▽゜)o☆[有了!]
ming bai	(oﾟvﾟ)ノ
明白	(oﾟvﾟ)ノ
可爱维斯	(oﾟωﾟo)
qi chuang	(o￣ω￣)○))ｏ(＿＿*)Ｚｚｚ[推推~起床啦!]
qi chuang	(o￣Д￣)＜起床! ※=0,○☆(＿＿*)Ｚｚｚ
kun si le	(p.-)(p.-)(p.-)
